title,author,category,demand,action
Dune,Frank Herbert,Science Fiction,95,Acquire
Foundation,Isaac Asimov,Science Fiction,92,Acquire
Sapiens: A Brief History of Humankind,Yuval Noah Harari,History,88,Hold
The Three-Body Problem,Cixin Liu,Science Fiction,85,Transfer
Clean Code,Robert C. Martin,Technology,78,Hold
The Very Hungry Caterpillar,Eric Carle,Children's Books,75,Acquire
A Short History of Nearly Everything,Bill Bryson,History,72,Hold
Neuromancer,William Gibson,Science Fiction,68,Deaccession
Designing Data-Intensive Applications,Martin Kleppmann,Technology,65,Transfer
Where the Wild Things Are,Maurice Sendak,Children's Books,62,Hold
The Hobbit,J.R.R. Tolkien,Fantasy,91,Acquire
Steve Jobs,Walter Isaacson,Biography,84,Hold
Guns, Germs, and Steel,Jared Diamond,History,79,Transfer
Project Hail Mary,Andy Weir,Science Fiction,96,Acquire
Atomic Habits,James Clear,Self-Help,89,Acquire
The Name of the Wind,Patrick Rothfuss,Fantasy,87,Hold
Goodnight Moon,Margaret Wise Brown,Children's Books,70,Deaccession
The Pragmatic Programmer,Andrew Hunt,Technology,76,Hold
Becoming,Michelle Obama,Biography,93,Acquire
A Game of Thrones,George R.R. Martin,Fantasy,90,Transfer
The Silent Patient,Alex Michaelides,Thriller,94,Acquire
Educated,Tara Westover,Memoir,91,Hold
Circe,Madeline Miller,Fantasy,88,Acquire
The Midnight Library,Matt Haig,Fantasy,86,Transfer
Klara and the Sun,Kazuo Ishiguro,Science Fiction,83,Hold
The Vanishing Half,Brit Bennett,Fiction,81,Acquire
Where the Crawdads Sing,Delia Owens,Fiction,97,Acquire
The Four Winds,Kristin Hannah,Historical Fiction,85,Hold
Anxious People,Fredrik Backman,Fiction,82,Transfer
The Guest List,Lucy Fokley,Thriller,89,Acquire
The Song of Achilles,Madeline Miller,Fantasy,90,Acquire
The 7 Husbands of Evelyn Hugo,Taylor Jenkins Reid,Historical Fiction,92,Hold
To Kill a Mockingbird,Harper Lee,Classic,98,Acquire
1984,George Orwell,Classic,97,Acquire
Pride and Prejudice,Jane Austen,Classic,95,Hold
The Great Gatsby,F. Scott Fitzgerald,Classic,94,Transfer
Moby Dick,Herman Melville,Classic,75,Deaccession
War and Peace,Leo Tolstoy,Classic,78,Hold
The Catcher in the Rye,J.D. Salinger,Classic,88,Acquire
Brave New World,Aldous Huxley,Science Fiction,93,Acquire
Lord of the Flies,William Golding,Classic,89,Hold
Fahrenheit 451,Ray Bradbury,Science Fiction,94,Acquire
The Alchemist,Paulo Coelho,Fantasy,91,Acquire
